job_position,job_link,company_name,company_profile,job_location,job_posting_date
Python Developer,https://ie.linkedin.com/jobs/view/python-developer-at-hays-3571675508?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=5VO2eIxkBeZCt0pzKRP4KA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,Hays,https://uk.linkedin.com/company/hays?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-14
Senior Data Scientist,https://ie.linkedin.com/jobs/view/senior-data-scientist-at-signify-health-3613028212?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=Gh4Ct1xuLRykwR6bNEHwiQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,Signify Health,https://www.linkedin.com/company/signifyhealth?trk=public_jobs_jserp-result_job-search-card-subtitle,"Galway, County Galway, Ireland",2023-06-17
Junior Developer,https://ie.linkedin.com/jobs/view/junior-developer-at-expeditors-3628708360?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=XQVbi5yLhymr3hqu0qlxBg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,Expeditors,https://www.linkedin.com/company/expeditors?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-07
Lead Data Scientist,https://ie.linkedin.com/jobs/view/lead-data-scientist-at-nitro-inc-3637353090?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=Sk8cTCLZv61a%2FriOPt37mQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,"Nitro, Inc.",https://www.linkedin.com/company/go-nitro?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-15
Senior Data Scientist,https://ie.linkedin.com/jobs/view/senior-data-scientist-at-lion-studios-3645840410?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=9%2FLe%2BghZesjWffYc21m4Eg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,Lion Studios,https://www.linkedin.com/company/lionstudioscc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-07-01
Data Science Intern,https://ie.linkedin.com/jobs/view/data-science-intern-at-eaton-3325531411?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=6kLDMOfVqWStgkuf7MUfYw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,Eaton,https://ie.linkedin.com/company/eaton?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2022-10-04
Data Scientist,https://ie.linkedin.com/jobs/view/data-scientist-at-reperio-human-capital-3643995731?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=7NW4P%2BNu9ak3vWGgyH0Tdw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,Reperio Human Capital,https://ie.linkedin.com/company/reperio-human-capital-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-23
R Developer,https://ie.linkedin.com/jobs/view/r-developer-at-sabeo-3627661113?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=fs3U%2B9zxRJTdAA8usIXlTA%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,Sabeo,https://ie.linkedin.com/company/sabeoitresourcing?trk=public_jobs_jserp-result_job-search-card-subtitle,Ireland,2023-06-06
Senior Data Scientist,https://ie.linkedin.com/jobs/view/senior-data-scientist-at-cityswift-3605305641?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=jebbVpsYj36owT1kVoWNMA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,CitySwift,https://ie.linkedin.com/company/cityswift?trk=public_jobs_jserp-result_job-search-card-subtitle,Galway Metropolitan Area,2023-06-06
Senior Software Engineer ML Ops,https://ie.linkedin.com/jobs/view/senior-software-engineer-ml-ops-at-ninedots-io-3642802765?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=HpuLLw678hTjplSlTZSVow%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,nineDots.io,https://ie.linkedin.com/company/ninedots-io?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-23
